,lat,lon,amenity,name,lat2,lon2,amenity2,name2,lat3,lon3,amenity3,name3,total_travel_distance
0,49.26081,-123.12573,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,24359.360669081558
0,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.192352,-123.180145,cafe,Starbucks,49.212658,-122.91935,cafe,Starbucks,19220.69186817382
0,49.212658,-122.91935,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212982,-122.91906,post_office,Queens Park,19112.93120756366
0,49.199657,-122.810104,post_office,Riverside,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,34970.03459104873
0,49.27812,-122.912285,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,28898.279983026256
0,49.27691,-122.85896,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,33476.99077570587
0,49.270252,-123.135735,post_office,Granville Island,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,26069.452133910047
0,49.287342,-123.114395,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,27870.844357845883
0,49.268616,-123.158775,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,26937.13935488958
0,49.287613,-123.11492,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,27930.504525190598
0,49.212994,-123.1401,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,19655.649399880796
0,49.372158,-123.09881,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,42703.00320208868
0,49.104816,-122.802216,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,43925.2523395107
0,49.27962,-123.09994,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,26268.60880852824
0,49.254333,-122.73799,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,46776.81983070363
0,49.19863,-122.83474,post_box,Canada Post,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,31452.575611707565
0,49.19872,-122.82323,post_box,Canada Post,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,33100.1908180826
0,49.191628,-122.82953,post_box,Canada Post,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,32418.44768733175
0,49.19162,-122.82225,post_box,Canada Post,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,33447.79721667712
0,49.263206,-123.10705,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,24121.08396417101
0,49.267345,-123.11299,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,24851.59670710077
0,49.23522,-123.115715,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,21058.632294732226
0,49.21861,-122.95648,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,19267.026682870197
0,49.225677,-122.99739,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,19600.469079653165
0,49.22782,-122.84006,cafe,Starbucks,49.193695,-123.18024,post_office,YVR Domestic Terminal,49.212658,-122.91935,cafe,Starbucks,31001.05677007074
